latitude,longitude,spatial_ref,X5_mean_summer_temp
23.0,116.0,0,27.950514674492823
23.0,116.25,0,27.96233087178688
23.0,120.25,0,29.79172246881322
23.0,120.5,0,29.55678035644063
23.0,120.75,0,24.068143599957136
23.0,121.0,0,18.262617026781676
23.0,121.25,0,26.105632490157657
23.25,99.0,0,23.720687697607776
23.25,99.25,0,21.231797727523745
23.25,99.5,0,22.020360648159954
23.25,99.75,0,21.239954890057074
23.25,100.0,0,23.443075136104504
23.25,100.25,0,21.43744151070603
23.25,100.5,0,22.151848308946526
23.25,100.75,0,20.980557966346495
23.25,101.0,0,22.59660855779331
23.25,101.25,0,24.17470107281052
23.25,101.5,0,21.35989833086275
23.25,101.75,0,22.807474475270826
23.25,102.0,0,17.412285035736076
23.25,102.25,0,16.833847805315287
23.25,102.5,0,20.936891505137687
23.25,102.75,0,25.287911397420174
23.25,103.0,0,23.13430674928335
23.25,103.25,0,19.559821678765797
23.25,103.5,0,20.380653755038683
23.25,103.75,0,21.6242528413582
23.25,104.0,0,19.20833498166278
23.25,104.25,0,21.392830430132218
23.25,104.5,0,22.188870238355285
23.25,104.75,0,22.41549050269015
23.25,105.0,0,24.691912509098803
23.25,105.5,0,21.88778996729267
23.25,105.75,0,23.685608062250104
23.25,106.0,0,23.48111510973058
23.25,106.25,0,24.18390266088544
23.25,106.5,0,24.240866720831654
23.25,106.75,0,26.048018225800178
23.25,107.0,0,25.762587603369127
23.25,107.25,0,26.188962489510047
23.25,107.5,0,27.261320210162427
23.25,107.75,0,27.45145897590889
23.25,108.0,0,27.841737284327674
23.25,108.25,0,27.69644301249145
23.25,108.5,0,26.799970718992746
23.25,108.75,0,27.84189053719442
23.25,109.0,0,28.046393591712594
23.25,109.25,0,27.734057007522747
23.25,109.5,0,27.58701372633951
23.25,109.75,0,28.33830127506572
23.25,110.0,0,28.379247791838917
23.25,110.25,0,27.702149007241236
23.25,110.5,0,27.84303732514476
23.25,110.75,0,27.954939236553486
23.25,111.0,0,27.693976150975256
23.25,111.25,0,27.717711242171095
23.25,111.5,0,28.13859483716015
23.25,111.75,0,28.183335371710132
23.25,112.0,0,27.642385452593007
23.25,112.25,0,27.28193968060219
23.25,112.5,0,26.681638686939582
23.25,112.75,0,28.662317032987723
23.25,113.0,0,28.678535519843756
23.25,113.25,0,28.645824879721516
23.25,113.5,0,27.7277742096798
23.25,113.75,0,28.280304622386197
23.25,114.0,0,27.494160527568713
23.25,114.25,0,27.83223308684992
23.25,114.5,0,28.050953846422672
23.25,114.75,0,26.96981811679066
23.25,115.0,0,26.763771789330537
23.25,115.25,0,26.35750324286047
23.25,115.5,0,26.26736391611648
23.25,115.75,0,24.718997886762235
23.25,116.0,0,27.423647987916134
23.25,116.25,0,28.180723985888566
23.25,116.5,0,28.356195598178413
23.25,116.75,0,28.17698023981971
23.25,120.25,0,29.83553523337205
23.25,120.5,0,29.362018476136704
23.25,120.75,0,20.24521974782497
23.25,121.0,0,14.960860968127006
23.25,121.25,0,24.711687262626434
23.5,99.0,0,24.7393202998826
23.5,99.25,0,19.41231572253118
23.5,99.5,0,22.536969276104255
23.5,99.75,0,21.1415008473382
23.5,100.0,0,18.998600596801715
23.5,100.25,0,22.183903614259336
23.5,100.5,0,23.12300288204993
23.5,100.75,0,22.79481608822905
23.5,101.0,0,19.14840756078752
23.5,101.25,0,22.435699589856945
23.5,101.5,0,22.42312200720681
23.5,101.75,0,18.872878046574655
23.5,102.0,0,20.767700845573135
23.5,102.25,0,21.499991529663504
23.5,102.5,0,19.92446217670629
23.5,102.75,0,20.56086684788359
23.5,103.0,0,19.482621262711323
23.5,103.25,0,23.562790513855422
23.5,103.5,0,19.856104548227602
23.5,103.75,0,19.127828748571947
23.5,104.0,0,21.308260229171193
23.5,104.25,0,20.5668127669076
23.5,104.5,0,21.863668007724296
23.5,104.75,0,21.024499222369904
23.5,105.0,0,22.022376785775375
23.5,105.25,0,22.100560668563404
23.5,105.5,0,21.488605907222677
23.5,105.75,0,21.50739859853216
23.5,106.0,0,25.046131292095545
